item_sno,name,image,material,effect
T2eOsu6bW6wH1M1p5O39k,패리스독 강아지 장난감 이갈이 새끼 노즈워크 터그놀이 애착인형 아기 라텍스공 바스락 삑삑이,https://shopping-phinf.pstatic.net/main_8219947/82199479603.3.jpg?type=f140,고무/실리콘,"소리나는, 간식넣는, 분리불안해소"
TmHhuuCsYmhy0220Fw7k8,도나츠 삑삑이인형 아기강아지 장난감 10개 리트리버,https://shopping-phinf.pstatic.net/main_2917410/29174107859.20211010020343.jpg?type=f140,폴리프로필렌,"소리나는, 흥미유발"
TyBcIBXW5DcPPP8A45a22,강아지 장난감 당근 노즈워크 애견용품,https://shopping-phinf.pstatic.net/main_3159842/31598426653.20220404021825.jpg?type=f140,,"두뇌개발, 분리불안해소"
T7ih41r6od0P9BvPXiQ6k,대형견전용 빅사이즈 노즈워크 노즈볼 애견장난감,https://searchad-phinf.pstatic.net/MjAyMTEyMDdfOTYg/MDAxNjM4ODU4NDg2MDQ0.YKYPqJV5CiFMEJLuipx9YhLMWmo064otCVhWQi8ANj8g.LNV9kkTlxNE6e-CBxHe3PT7sOMslIZyVYdAvfKad8p0g.PNG/1300635-29edd3b7-33c1-4678-98bd-ab58b146e0c3.png?type=f200,고무/실리콘,"간식넣는, 두뇌개발, 분리불안해소"
TEcA6A2nqY2u6xxsm391M,[냥품멍품] 멍티슈 노즈워크 휴지뽑기 장난감 킁킁 티슈토이 분리불안 해소 훈련 놀이,https://shopping-phinf.pstatic.net/main_8264706/82647064109.4.jpg?type=f140,합성섬유,"간식넣는, 두뇌개발, 흥미유발"
Tcj19511sWtK3raL5pIxe,[아아랜드] 코코니캡 강아지 분리불안 노즈워크 장난감 1ea,https://searchad-phinf.pstatic.net/MjAyMjA3MjhfMTA0/MDAxNjU4OTgyOTg1MDM0.MGUcNONSC7j6GssUWX0_O34bKK_SCs4lmLDVj82r6kEg.o_8BEJEd6aIxlYDRt_5nPcV4uMFSDrO4aumN45Bi-4Mg.PNG/2163284-2386ef5e-577a-43eb-9846-659c7358f68f.png?type=f200,플라스틱,"두뇌개발, 흥미유발, 분리불안해소"
T9QWwX0Nqu0F806aY1800,고급 강아지 자동 공놀이 공던지는 공던져주는 기계 자동공놀이 운동 기구 장난감 한국형코드,https://shopping-phinf.pstatic.net/main_8287168/82871683600.2.jpg?type=f140,플라스틱,"불들어오는, 간식넣는, 두뇌개발"
TPgam79a5a4E7s7OrRVj6,강아지 노즈워크 장난감 분리불안 훈련 노즈볼,https://shopping-phinf.pstatic.net/main_1302551/13025510058.17.jpg?type=f140,고무/실리콘,"간식넣는, 흥미유발, 분리불안해소"
T6KJfNBM3Zt77KlKz50N8,우쭈쭈 애니멀 팜 라텍스 토이 강아지장난감 공,https://shopping-phinf.pstatic.net/main_3306548/33065488496.20220621193524.jpg?type=f140,고무/실리콘,"소리나는, 흥미유발"
TbGiPE5ldq794ARxS9DR3,바스락 뿡뿡 스틱 강아지 장난감,https://shopping-phinf.pstatic.net/main_8084889/80848891618.7.jpg?type=f140,합성섬유,"소리나는, 치석케어, 분리불안해소"
TPpkp52GAp99ecwK5pEjQ,칼리 스위티 라텍스 만득이 (파랑) 삑삑이 라텍스공,https://shopping-phinf.pstatic.net/main_8270315/82703151996.4.jpg?type=f140,고무/실리콘,"소리나는, 치석케어, 흥미유발"
Ta56FwkXL62132mPeFo94,견소문 노즈워크 강아지 분리불안 장난감 애착인형 터그놀이 스트레스해소,https://shopping-phinf.pstatic.net/main_8377365/83773659510.jpg?type=f140,폴리에스테르,"간식넣는, 흥미유발, 분리불안해소"
TzKPMLXWV7FN4PJ2L3RbJ,"강아지 노즈워크 애견 장난감 삑삑바스락 젖소, 대왕 우유 토이 (소중대형견가능)",https://shopping-phinf.pstatic.net/main_8292581/82925815228.3.jpg?type=f140,폴리에스테르,"소리나는, 간식넣는, 분리불안해소"
T685Vj10V4RzOt6G440Bb,로이코 강아지 노즈워크 휴지 장난감,https://shopping-phinf.pstatic.net/main_8450721/84507213576.1.jpg?type=f140,폴리에스테르,"간식넣는, 흥미유발, 분리불안해소"
T13UkeQ8751rVwkJn11xZ,펫스테이지 리얼 우드스틱 XS 커피나무 이갈이 장난감,https://shopping-phinf.pstatic.net/main_1199080/11990808868.2.jpg?type=f140,원목,"치석케어, 흥미유발, 분리불안해소"
T4y1ac7x16tC5O6VxQ86z,KONG 워블러 콩 세나개장난감 펫윈도 분리불안 소형견에서 대형견까지 강아지식기 콩토이,https://shopping-phinf.pstatic.net/main_8010986/80109866254.jpg?type=f140,플라스틱,"간식넣는, 흥미유발, 분리불안해소"
